name,created_at,description,verified,id,profile_image_url,username,protected,url_urls_list,description_hashtags_list,description_urls_list,description_mentions_list,description_cashtags_list,public_metrics_followers_count,public_metrics_following_count,public_metrics_tweet_count,public_metrics_listed_count,location
Paul Richards-Whiteh,2017-10-02T09:08:37.000Z,,False,914779140225675265,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,WhitehPaul,False,[],[],[],[],[],15,53,1182,0,
แอนนี่นี้นี๊นี๋･｡ﾟ🌾🍃🍂𝐟𝐭.ตีกับโครงงาน,2018-03-02T15:42:24.000Z,"𝐊-𝐏𝐎𝐏 | 𝐀𝐍𝐈𝐌𝐄 | 𝐁𝐎𝐎𝐊 。﹆ *･῾ ᵎ𝐌𝐮𝐭𝐢𝐅𝐚𝐧𝐝𝐨𝐦𓏰ㅡ⁺˚ 𝐩𝐫𝐨𝐟𝐢𝐥𝐞 𝐜𝐦𝐬  : @6myfeb
*:･ﾟᴘʟᴢ ғᴇᴇʟ ғʀᴇᴇ ᴛᴏ Uɴғᴀʟʟᴏᴡ / Mᴜᴛᴇ / Bʟᴏᴄᴋ .•ᰔᩚ",False,969598808186212353,https://pbs.twimg.com/profile_images/1451066793984860162/HFxhuheO_normal.jpg,_anemones,False,[],[],[],['6myfeb'],[],178,1669,129323,20,ในใจคูมหมีกริซลีย์🐻
